id,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,SEASON
tidj_salaun_cho_25,Tidjane Salaün,CHA,19.0,60,0.2,20.7,99.4,111.2,-11.9,0.092,1.28,0.106,0.457,0.15,0.065,2545,1.9,5.8,0.33,2024-25
tidj_salaun_cho_26,Tidjane Salaün,CHA,20.0,37,0.514,15.6,113.2,111.1,2.1,0.071,1.04,0.125,0.629,0.147,0.102,1175,2.2,4.3,0.503,2025-26
tim_frazier_nop_17,Tim Frazier,NOP,26.0,65,0.4,23.5,104.5,107.1,-2.6,0.312,3.32,0.054,0.504,0.161,0.084,3153,2.5,6.2,0.403,2016-17
tim_frazier_was_18,Tim Frazier,WAS,27.0,59,0.525,14.2,102.4,108.0,-5.5,0.327,3.4,0.07,0.475,0.125,0.085,1715,1.2,2.9,0.395,2017-18
tim_frazier_tot_19,Tim Frazier,TOT,28.0,59,0.458,19.0,107.9,110.6,-2.7,0.286,3.26,0.071,0.544,0.132,0.081,2440,2.0,4.4,0.444,2018-19
tim_frazier_det_20,Tim Frazier,DET,29.0,27,0.333,13.1,100.5,107.4,-6.9,0.391,2.58,0.047,0.464,0.171,0.068,738,1.3,3.5,0.362,2019-20
tim_frazier_mem_21,Tim Frazier,MEM,30.0,5,1.0,12.4,98.5,90.6,7.8,0.333,4.0,0.054,0.177,0.178,0.012,133,0.6,4.0,0.15,2020-21
tim_frazier_tot_22,Tim Frazier,TOT,31.0,12,0.083,17.3,92.7,110.2,-17.5,0.254,2.27,0.045,0.398,0.137,0.023,425,1.2,3.8,0.311,2021-22
tim_hardaway_atl_17,Tim Hardaway Jr.,ATL,25.0,79,0.532,27.3,106.9,103.9,3.0,0.137,1.72,0.05,0.568,0.218,0.104,4491,5.3,11.5,0.455,2016-17
tim_hardaway_nyk_18,Tim Hardaway Jr.,NYK,26.0,57,0.333,33.1,107.9,109.8,-1.9,0.123,1.68,0.057,0.533,0.229,0.091,3893,6.3,15.0,0.421,2017-18
tim_hardaway_tot_19,Tim Hardaway Jr.,TOT,27.0,65,0.215,31.6,105.4,114.5,-9.1,0.125,1.51,0.051,0.527,0.246,0.085,4324,6.0,15.3,0.393,2018-19
tim_hardaway_dal_20,Tim Hardaway Jr.,DAL,28.0,71,0.577,29.5,116.0,110.1,5.9,0.096,1.99,0.051,0.581,0.204,0.089,4451,5.4,12.5,0.434,2019-20
tim_hardaway_dal_21,Tim Hardaway Jr.,DAL,29.0,70,0.6,28.4,114.3,112.3,2.1,0.098,1.97,0.056,0.589,0.23,0.102,4073,5.8,13.0,0.447,2020-21
tim_hardaway_dal_22,Tim Hardaway Jr.,DAL,30.0,42,0.571,29.6,108.9,107.7,1.3,0.115,2.71,0.061,0.52,0.214,0.089,2517,5.0,12.6,0.394,2021-22
tim_hardaway_dal_23,Tim Hardaway Jr.,DAL,31.0,71,0.521,30.3,117.9,114.5,3.4,0.088,2.15,0.06,0.554,0.201,0.081,4373,4.8,11.9,0.401,2022-23
tim_hardaway_dal_24,Tim Hardaway Jr.,DAL,32.0,79,0.62,26.8,115.7,115.8,-0.1,0.094,2.01,0.058,0.542,0.22,0.083,4516,5.0,12.4,0.402,2023-24
tim_hardaway_det_25,Tim Hardaway Jr.,DET,33.0,77,0.532,28.0,113.8,114.2,-0.5,0.074,2.56,0.042,0.567,0.151,0.066,4535,3.6,8.8,0.406,2024-25
tim_hardaway_den_26,Tim Hardaway Jr.,DEN,34.0,80,0.65,26.6,119.4,114.9,4.5,0.07,2.51,0.047,0.624,0.177,0.085,4487,4.4,9.7,0.447,2025-26
timm_allen_mem_24,Timmy Allen,MEM,24.0,5,0.0,25.1,92.6,114.4,-21.8,0.06,2.5,0.061,0.272,0.084,-0.002,256,1.2,4.6,0.261,2023-24
timo_mozgov_lal_17,Timofey Mozgov,LAL,30.0,54,0.296,20.4,101.1,109.8,-8.7,0.061,0.6,0.116,0.553,0.168,0.072,2265,3.1,6.1,0.515,2016-17
timo_mozgov_brk_18,Timofey Mozgov,BKN,31.0,31,0.387,11.6,93.4,106.2,-12.8,0.05,0.33,0.129,0.617,0.161,0.085,789,1.7,3.0,0.559,2017-18
timo_luwawu-cabarrot_phi_17,Timothe Luwawu-Cabarrot,PHI,22.0,69,0.333,17.2,101.4,103.4,-2.0,0.093,1.03,0.061,0.536,0.175,0.053,2520,2.1,5.2,0.402,2016-17
timo_luwawu-cabarrot_phi_18,Timothe Luwawu-Cabarrot,PHI,23.0,52,0.558,15.5,102.6,102.7,-0.1,0.098,1.42,0.041,0.511,0.168,0.041,1727,1.9,5.1,0.375,2017-18
timo_luwawu-cabarrot_tot_19,Timothe Luwawu-Cabarrot,TOT,24.0,50,0.5,13.4,98.5,112.9,-14.4,0.057,1.24,0.067,0.489,0.156,0.049,1440,1.6,4.4,0.376,2018-19
timo_luwawu-cabarrot_brk_20,Timothe Luwawu-Cabarrot,BKN,25.0,47,0.426,18.1,103.5,104.8,-1.3,0.052,0.78,0.065,0.599,0.162,0.069,1839,2.5,5.7,0.435,2019-20
timo_luwawu-cabarrot_brk_21,Timothe Luwawu-Cabarrot,BKN,26.0,58,0.655,18.1,112.5,112.9,-0.4,0.088,1.6,0.059,0.493,0.165,0.047,2247,2.2,6.1,0.365,2020-21
timo_luwawu-cabarrot_atl_22,Timothe Luwawu-Cabarrot,ATL,27.0,52,0.577,13.2,109.7,113.2,-3.5,0.08,2.0,0.058,0.556,0.135,0.049,1467,1.4,3.6,0.398,2021-22
tobi_harris_det_17,Tobias Harris,DET,24.0,82,0.451,31.3,105.5,106.1,-0.5,0.087,1.48,0.08,0.568,0.214,0.113,5177,6.2,13.0,0.481,2016-17
tobi_harris_tot_18,Tobias Harris,TOT,25.0,80,0.488,33.3,108.3,110.6,-2.3,0.115,1.83,0.081,0.565,0.227,0.113,5464,7.0,15.3,0.46,2017-18
tobi_harris_tot_19,Tobias Harris,TOT,26.0,82,0.561,34.7,110.9,110.5,0.4,0.126,1.52,0.108,0.592,0.225,0.131,6050,7.5,15.3,0.487,2018-19
tobi_harris_phi_20,Tobias Harris,PHI,27.0,72,0.597,34.3,110.3,107.2,3.1,0.145,2.18,0.099,0.556,0.236,0.126,5105,7.7,16.3,0.471,2019-20
tobi_harris_phi_21,Tobias Harris,PHI,28.0,62,0.71,32.5,113.3,106.1,7.2,0.175,2.06,0.104,0.597,0.237,0.145,4223,7.6,14.9,0.512,2020-21
tobi_harris_phi_22,Tobias Harris,PHI,29.0,73,0.616,34.8,113.2,110.0,3.2,0.158,2.17,0.099,0.566,0.214,0.115,5131,6.8,14.0,0.482,2021-22
tobi_harris_phi_23,Tobias Harris,PHI,30.0,74,0.635,32.9,117.2,111.7,5.5,0.114,2.09,0.092,0.602,0.18,0.105,4910,5.7,11.4,0.501,2022-23
tobi_harris_phi_24,Tobias Harris,PHI,31.0,70,0.586,33.8,117.0,112.4,4.6,0.136,2.33,0.094,0.576,0.203,0.116,4880,6.6,13.6,0.487,2023-24
tobi_harris_det_25,Tobias Harris,DET,32.0,73,0.548,31.6,114.7,110.8,3.9,0.095,1.91,0.092,0.571,0.173,0.1,4845,5.3,11.0,0.477,2024-25
tobi_harris_det_26,Tobias Harris,DET,33.0,63,0.73,27.7,118.6,108.6,10.0,0.12,2.49,0.088,0.574,0.181,0.112,3669,4.9,10.5,0.469,2025-26
toby_okani_mem_26,Toby Okani,MEM,24.0,6,0.0,36.2,100.0,128.1,-28.1,0.039,2.0,0.043,0.408,0.142,0.013,483,4.2,11.7,0.357,2025-26
tolu_smith_det_25,Tolu Smith,DET,24.0,1,0.0,22.4,117.4,104.4,12.9,0.0,0.0,0.157,0.678,0.2,0.149,46,6.0,9.0,0.667,2024-25
toma_satoransky_was_17,Tomas Satoransky,WAS,25.0,57,0.579,12.6,102.7,101.6,1.1,0.183,2.42,0.057,0.477,0.122,0.064,1451,1.1,2.6,0.415,2016-17
toma_satoransky_was_18,Tomas Satoransky,WAS,26.0,73,0.534,22.5,107.1,105.6,1.5,0.246,3.45,0.072,0.615,0.134,0.106,3367,2.8,5.3,0.523,2017-18
