id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
eric_paschall_gsw_20,23.0,60,0.233,27.6,103.6,114.2,-10.6,0.126,1.35,0.081,0.571,0.207,0.096,3516,5.3,10.7,0.497
ersa_ilyasova_tot_17,30.0,82,0.427,26.1,103.9,104.3,-0.4,0.107,1.22,0.108,0.546,0.216,0.106,4484,4.7,10.9,0.431
etha_thompson_ind_26,27.0,32,0.25,20.4,109.8,109.9,-0.1,0.122,2.28,0.051,0.515,0.154,0.051,1387,2.3,6.1,0.378
euge_omoruyi_tot_23,26.0,40,0.25,16.1,111.2,113.1,-1.9,0.065,0.82,0.086,0.533,0.192,0.06,1328,2.5,5.7,0.443
evan_fournier_tot_21,28.0,42,0.429,30.0,111.6,113.0,-1.4,0.17,1.97,0.049,0.598,0.222,0.098,2672,5.9,12.9,0.457
evan_fournier_tot_24,31.0,32,0.25,18.1,97.8,109.9,-12.1,0.131,2.29,0.048,0.464,0.187,0.06,1221,2.5,6.9,0.357
fran_jackson_det_21,23.0,40,0.325,18.5,106.1,107.0,-1.0,0.079,1.06,0.057,0.598,0.207,0.093,1535,3.4,7.3,0.457
fran_mason_mil_20,26.0,9,0.667,13.1,97.1,98.9,-1.8,0.372,2.64,0.066,0.53,0.228,0.123,273,2.6,5.7,0.451
fran_mason_orl_21,27.0,4,0.25,19.8,96.9,108.0,-11.1,0.218,2.4,0.068,0.462,0.17,0.059,161,2.3,6.0,0.375
fred_gillespie_tor_21,24.0,20,0.35,19.6,101.3,110.9,-9.6,0.034,0.75,0.12,0.563,0.12,0.075,824,2.2,4.2,0.524
fred_gillespie_orl_22,25.0,9,0.111,13.2,96.7,110.4,-13.6,0.061,1.0,0.14,0.419,0.109,0.057,245,1.0,2.4,0.409
gg_jackson_mem_24,19.0,48,0.292,25.7,104.3,111.4,-7.1,0.082,0.91,0.076,0.554,0.238,0.095,2564,5.0,11.7,0.428
gg_jackson_mem_25,20.0,29,0.655,15.8,112.7,118.6,-5.9,0.085,0.94,0.093,0.482,0.219,0.064,977,2.6,6.9,0.372
gabe_vincent_mia_21,25.0,50,0.54,13.1,104.3,110.3,-5.9,0.161,1.97,0.043,0.498,0.184,0.049,1335,1.8,4.7,0.378
gabe_vincent_tot_26,29.0,53,0.679,16.6,117.3,116.0,1.3,0.109,2.81,0.03,0.511,0.119,0.033,1873,1.4,4.1,0.352
gabe_york_ind_22,28.0,2,0.0,10.7,105.8,120.4,-14.6,0.222,4.0,0.061,0.435,0.179,0.044,52,1.0,3.5,0.286
